distributor,zrep,category,demand segment,year,period,rolling_period,sell_out_actuals_qty,sell_out_forecast_qty_deimos,sell_out_forecast_qty,price,in_transit,target_inventory,beginning_inventory,woh_inventory_required,sell_in_actuals_qty,sell_in_forecast_qty,ending_inventory,planner_group,doh
D9,Product_1,C1,Seg 1,2025,11,P-5,254.1,18.7,18.7,264.10,0,6,45.8,31,3.9,3.9,31,High,46.5
D9,Product_1,C1,Seg 1,2025,12,P-4,330.2,20.7,20.7,264.24,0,6,28.5,29.2,21.4,21.4,29.2,High,39.6
D9,Product_1,C1,Seg 1,2025,13,P-3,396.6,19.5,19.5,264.39,0,6,34.8,30.1,14.8,14.8,30.1,High,43.3
D9,Product_1,C1,Seg 1,2026,1,P-2,125.9,20.1,20.1,264.38,0,6,20,31,31.1,31.1,31,High,43.2
D9,Product_1,C1,Seg 1,2026,2,P-1,192.5,20.7,20.7,264.23,31,6,10,31,41.7,41.7,31,High,42
D9,Product_1,C1,Seg 1,2026,3,P+0,19.8,20.7,20.7,264.23,36,6,35.9,31,,15.7,66.9,High,42
D9,Product_1,C1,Seg 1,2026,4,P+1,,20.7,20.7,264.22,12,6,66.9,31,,20.7,78.9,High,42
D9,Product_1,C1,Seg 1,2026,5,P+2,,20.7,20.7,264.22,0,6,78.9,31,,20.7,78.9,High,42
D9,Product_1,C1,Seg 1,2026,6,P+3,,20.7,20.7,264.22,0,6,78.9,31,,20.7,78.9,High,42
D9,Product_1,C1,Seg 1,2026,7,P+4,,20.7,20.7,264.22,0,6,78.9,31,,20.7,78.9,High,42
D9,Product_1,C1,Seg 1,2026,8,P+5,,20.7,20.7,264.22,0,6,78.9,31,,200,258.2,High,42
D9,Product_1,C1,Seg 1,2026,9,P+6,,20.7,20.7,264.22,0,6,258.2,31,,0,237.5,High,42
D9,Product_1,C1,Seg 1,2026,10,P+7,,20.7,20.7,264.22,0,6,237.5,31,,0,216.8,High,42
D9,Product_1,C1,Seg 1,2026,11,P+8,,20.7,20.7,264.22,0,6,216.8,31,,0,196.1,High,42
D9,Product_1,C1,Seg 1,2026,12,P+9,,20.7,20.7,264.22,0,6,196.1,38.7,,0,175.4,High,52.5
D9,Product_1,C1,Seg 1,2026,13,P+10,,25.8,25.8,264.99,0,6,175.4,31,,0,149.6,High,33.6
D9,Product_1,C1,Seg 1,2027,1,P+11,,20.7,20.7,264.22,0,6,149.6,31,,0,128.9,High,42
D9,Product_1,C1,Seg 1,2027,2,P+12,,20.7,20.7,264.22,0,6,128.9,31,,0,108.2,High,42
D9,Product_1,C1,Seg 1,2027,3,P+13,,20.7,20.7,264.22,0,6,108.2,31,,0,87.5,High,42
D9,Product_1,C1,Seg 1,2027,4,P+14,,20.7,20.7,264.22,0,6,87.5,31,,13.4,80.2,High,42
D9,Product_1,C1,Seg 1,2027,5,P+15,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,6,P+16,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,7,P+17,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,8,P+18,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,9,P+19,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,10,P+20,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,11,P+21,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,12,P+22,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2027,13,P+23,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,1,P+24,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,2,P+25,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,3,P+26,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,4,P+27,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,5,P+28,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,6,P+29,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,7,P+30,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,8,P+31,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,9,P+32,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,10,P+33,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,11,P+34,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,12,P+35,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2028,13,P+36,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2029,1,P+37,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2029,2,P+38,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D9,Product_1,C1,Seg 1,2029,3,P+39,,20.7,20.7,264.22,0,6,80.2,31,,20.7,80.2,High,42
D8,Product_2,C2,Seg 1,2021,1,P-67,13.6,58.1,58.1,264.87,0,6,0,83.8,142,142,83.8,High,40.4
D8,Product_2,C2,Seg 1,2021,2,P-66,50.8,55.9,55.9,264.67,0,6,0,90.6,146.5,146.5,90.6,High,45.4
D8,Product_2,C2,Seg 1,2021,3,P-65,22.6,60.4,60.4,264.85,0,6,0,79.8,140.2,140.2,79.8,High,37
D8,Product_2,C2,Seg 1,2021,4,P-64,13,53.2,53.2,264.70,0,6,0,97.1,150.3,150.3,97.1,High,51.1
D8,Product_2,C2,Seg 1,2021,5,P-63,17,64.7,64.7,264.91,0,6,0,79.8,144.5,144.5,79.8,High,34.5
D8,Product_2,C2,Seg 1,2021,6,P-62,15.7,53.2,53.2,264.65,0,6,0,79.4,132.6,132.6,79.4,High,41.8
D8,Product_2,C2,Seg 1,2021,7,P-61,22.5,52.9,52.9,264.87,0,6,0,73.8,126.8,126.8,73.8,High,39.1
D8,Product_2,C2,Seg 1,2021,8,P-60,2,49.2,49.2,264.85,0,6,0,69.3,118.5,118.5,69.3,High,39.4
D8,Product_2,C2,Seg 1,2021,9,P-59,,46.2,46.2,264.59,0,6,0,77.3,123.5,123.5,77.3,High,46.9
D8,Product_2,C2,Seg 1,2021,10,P-58,1.1,51.5,51.5,264.94,0,6,0,41.7,93.3,93.3,41.7,High,22.7
D8,Product_2,C2,Seg 1,2021,11,P-57,,27.8,27.8,264.80,0,6,0,49.8,77.6,77.6,49.8,High,50.1
D8,Product_2,C2,Seg 1,2021,12,P-56,44.4,33.2,33.2,264.47,0,6,0,76.7,109.9,109.9,76.7,High,64.7
D8,Product_2,C2,Seg 1,2021,13,P-55,,51.1,51.1,264.89,0,6,0,57,108.1,108.1,57,High,31.2
D8,Product_2,C2,Seg 1,2022,1,P-54,17.6,38,38,264.79,0,6,0,137.4,175.4,175.4,137.4,High,101.2
D8,Product_2,C2,Seg 1,2022,2,P-53,27.5,91.6,91.6,264.75,0,6,0,51.3,142.9,142.9,51.3,High,15.7
D8,Product_2,C2,Seg 1,2022,3,P-52,9.5,34.2,34.2,264.92,0,6,0,78.5,112.7,112.7,78.5,High,64.2
D8,Product_2,C2,Seg 1,2022,4,P-51,36.9,52.3,52.3,264.93,0,6,0,85.1,137.4,137.4,85.1,High,45.5
D8,Product_2,C2,Seg 1,2022,5,P-50,16.2,56.7,56.7,264.82,0,6,0,72.3,129,129,72.3,High,35.7
D8,Product_2,C2,Seg 1,2022,6,P-49,4.5,48.2,48.2,264.78,0,6,0,90.8,139,139,90.8,High,52.7
D8,Product_2,C2,Seg 1,2022,7,P-48,41.4,60.5,60.5,264.73,0,6,0,87.4,147.9,147.9,87.4,High,40.5
D8,Product_2,C2,Seg 1,2022,8,P-47,28.6,58.3,58.3,264.63,0,6,0,75,133.3,133.3,75,High,36
D8,Product_2,C2,Seg 1,2022,9,P-46,28.1,50,50,264.82,0,6,0,130.4,180.4,180.4,130.4,High,73
D8,Product_2,C2,Seg 1,2022,10,P-45,36.2,86.9,86.9,264.81,0,6,0,115.5,202.4,202.4,115.5,High,37.2
D8,Product_2,C2,Seg 1,2022,11,P-44,33.8,77,77,264.72,0,6,0,114.8,191.8,191.8,114.8,High,41.7
D8,Product_2,C2,Seg 1,2022,12,P-43,22,76.5,76.5,264.82,0,6,0,94.5,171.1,171.1,94.5,High,34.6
D8,Product_2,C2,Seg 1,2022,13,P-42,22.1,63,63,264.83,0,6,0,112.4,175.4,175.4,112.4,High,49.9
D8,Product_2,C2,Seg 1,2023,1,P-41,58,74.9,74.9,264.82,0,6,0,86.4,161.4,161.4,86.4,High,32.3
D8,Product_2,C2,Seg 1,2023,2,P-40,94.5,57.6,57.6,264.85,0,6,0,101.4,159,159,101.4,High,49.3
D8,Product_2,C2,Seg 1,2023,3,P-39,55.7,67.6,67.6,264.79,0,6,0,90.8,158.4,158.4,90.8,High,37.6
D8,Product_2,C2,Seg 1,2023,4,P-38,64.7,60.5,60.5,264.90,0,6,0,104.4,164.9,164.9,104.4,High,48.3
D8,Product_2,C2,Seg 1,2023,5,P-37,48.7,69.6,69.6,264.71,0,6,0,86.7,156.3,156.3,86.7,High,34.9
D8,Product_2,C2,Seg 1,2023,6,P-36,48.5,57.8,57.8,264.85,0,6,0,97.8,155.6,155.6,97.8,High,47.4
D8,Product_2,C2,Seg 1,2023,7,P-35,42.7,65.2,65.2,264.71,0,6,0,85,150.2,150.2,85,High,36.5
D8,Product_2,C2,Seg 1,2023,8,P-34,35,56.6,56.6,264.93,0,6,0,95.6,152.2,152.2,95.6,High,47.2
D8,Product_2,C2,Seg 1,2023,9,P-33,36.7,63.7,63.7,264.79,0,6,0,89.4,153.1,153.1,89.4,High,39.3
D8,Product_2,C2,Seg 1,2023,10,P-32,45.7,59.6,59.6,264.69,0,6,0,101,160.6,160.6,101,High,47.4
D8,Product_2,C2,Seg 1,2023,11,P-31,36.2,67.3,67.3,264.80,0,6,0,84.5,151.8,151.8,84.5,High,35.1
D8,Product_2,C2,Seg 1,2023,12,P-30,35.6,56.3,56.3,264.76,0,6,0,92,148.3,148.3,92,High,45.8
D8,Product_2,C2,Seg 1,2023,13,P-29,56.7,61.4,61.4,264.56,0,6,0,80.9,142.3,142.3,80.9,High,36.9
D8,Product_2,C2,Seg 1,2024,1,P-28,32.5,53.9,53.9,264.96,0,6,0,88.7,142.7,142.7,88.7,High,46
D8,Product_2,C2,Seg 1,2024,2,P-27,41.8,59.1,59.1,264.91,0,6,0,86,145.2,145.2,86,High,40.7
D8,Product_2,C2,Seg 1,2024,3,P-26,37.8,57.4,57.4,264.52,0,6,0,93.9,151.2,151.2,93.9,High,45.8
D8,Product_2,C2,Seg 1,2024,4,P-25,41.7,62.6,62.6,264.71,0,6,0,88.4,151,151,88.4,High,39.6
D8,Product_2,C2,Seg 1,2024,5,P-24,49.2,59,59,264.58,0,6,0,92.9,151.8,151.8,92.9,High,44.1
D8,Product_2,C2,Seg 1,2024,6,P-23,47.4,61.9,61.9,264.79,0,6,0,88.7,150.6,150.6,88.7,High,40.1
D8,Product_2,C2,Seg 1,2024,7,P-22,33.9,59.1,59.1,264.91,0,6,0,93.4,152.5,152.5,93.4,High,44.2
D8,Product_2,C2,Seg 1,2024,8,P-21,41.3,62.3,62.3,264.56,0,6,0,94.2,156.5,156.5,94.2,High,42.4
D8,Product_2,C2,Seg 1,2024,9,P-20,39.9,62.8,62.8,264.80,0,6,0,87.7,150.5,150.5,87.7,High,39.1
D8,Product_2,C2,Seg 1,2024,10,P-19,51.2,58.5,58.5,264.59,0,6,0,97.1,155.6,155.6,97.1,High,46.5
D8,Product_2,C2,Seg 1,2024,11,P-18,58.5,64.7,64.7,264.87,0,6,0,84.3,149,149,84.3,High,36.4
D8,Product_2,C2,Seg 1,2024,12,P-17,28.5,56.2,56.2,264.60,0,6,0,90.3,146.5,146.5,90.3,High,45
D8,Product_2,C2,Seg 1,2024,13,P-16,42,60.2,60.2,264.69,0,6,188,83.4,0,0,127.8,High,59.5
D8,Product_2,C2,Seg 1,2025,1,P-15,35.5,55.6,55.6,264.67,0,6,152.5,88.5,0,0,96.9,High,48.8
D8,Product_2,C2,Seg 1,2025,2,P-14,40.9,59,59,264.77,0,6,129.5,91.7,21.2,21.2,91.7,High,43.5
D8,Product_2,C2,Seg 1,2025,3,P-13,21,61.2,61.2,264.54,0,6,136.4,91.2,15.9,15.9,91.2,High,41.8
D8,Product_2,C2,Seg 1,2025,4,P-12,25.4,60.8,60.8,264.73,0,6,187.7,83,0,0,126.9,High,58.4
D8,Product_2,C2,Seg 1,2025,5,P-11,84.6,55.3,55.3,264.94,0,6,191.8,79.2,0,0,136.5,High,69.1
D8,Product_2,C2,Seg 1,2025,6,P-10,494.8,52.8,52.8,264.56,0,6,143,78.7,0,0,90.2,High,47.9
D8,Product_2,C2,Seg 1,2025,7,P-9,534.7,52.5,52.5,264.63,0,6,161.3,82.8,0,0,108.8,High,58
D8,Product_2,C2,Seg 1,2025,8,P-8,998.9,55.2,55.2,264.79,0,6,109.3,84.6,30.5,30.5,84.6,High,42.9
D8,Product_2,C2,Seg 1,2025,9,P-7,521.8,56.4,56.4,264.82,0,6,51.3,86.7,91.8,91.8,86.7,High,43
D8,Product_2,C2,Seg 1,2025,10,P-6,364.5,57.8,57.8,264.63,0,6,62.3,88,83.5,83.5,88,High,42.6
D8,Product_2,C2,Seg 1,2025,11,P-5,409.9,58.7,58.7,264.52,0,6,81.3,82.7,60.1,60.1,82.7,High,39.5
D8,Product_2,C2,Seg 1,2025,12,P-4,389.9,55.1,55.1,264.89,0,6,90.6,84.6,49.1,49.1,84.6,High,43
D8,Product_2,C2,Seg 1,2025,13,P-3,278.6,56.4,56.4,264.69,0,6,124.1,77.7,10,10,77.7,High,38.6
D8,Product_2,C2,Seg 1,2026,1,P-2,437.3,51.8,51.8,264.72,0,6,129.7,87.2,9.3,9.3,87.2,High,47.1
D8,Product_2,C2,Seg 1,2026,2,P-1,1165.6,58.1,58.1,264.87,90,6,45.4,87.2,99.9,99.9,87.2,High,42
D8,Product_2,C2,Seg 1,2026,3,P+0,650.4,58.1,58.1,264.87,42,6,100.2,87.2,,45.2,129.3,High,42
D8,Product_2,C2,Seg 1,2026,4,P+1,,58.1,58.1,264.87,108,6,129.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,5,P+2,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,6,P+3,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,7,P+4,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,8,P+5,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,9,P+6,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,10,P+7,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,11,P+8,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2026,12,P+9,,58.1,58.1,264.87,0,6,237.3,109,,79.9,259.1,High,52.5
D8,Product_2,C2,Seg 1,2026,13,P+10,,72.7,72.7,264.59,0,6,259.1,87.2,,50.9,237.3,High,33.6
D8,Product_2,C2,Seg 1,2027,1,P+11,,58.1,58.1,264.87,0,6,237.3,87.2,,300,479.2,High,42
D8,Product_2,C2,Seg 1,2027,2,P+12,,58.1,58.1,264.87,0,6,479.2,87.2,,0,421.1,High,42
D8,Product_2,C2,Seg 1,2027,3,P+13,,58.1,58.1,264.87,0,6,421.1,87.2,,0,363,High,42
D8,Product_2,C2,Seg 1,2027,4,P+14,,58.1,58.1,264.87,0,6,363,87.2,,0,304.9,High,42
D8,Product_2,C2,Seg 1,2027,5,P+15,,58.1,58.1,264.87,0,6,304.9,87.2,,0,246.8,High,42
D8,Product_2,C2,Seg 1,2027,6,P+16,,58.1,58.1,264.87,0,6,246.8,87.2,,48.6,237.3,High,42
D8,Product_2,C2,Seg 1,2027,7,P+17,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,8,P+18,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,9,P+19,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,10,P+20,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,11,P+21,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,12,P+22,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2027,13,P+23,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,1,P+24,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,2,P+25,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,3,P+26,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,4,P+27,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,5,P+28,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,6,P+29,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,7,P+30,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,8,P+31,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,9,P+32,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,10,P+33,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,11,P+34,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,12,P+35,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2028,13,P+36,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2029,1,P+37,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2029,2,P+38,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D8,Product_2,C2,Seg 1,2029,3,P+39,,58.1,58.1,264.87,0,6,237.3,87.2,,58.1,237.3,High,42
D7,Product_3,C3,Seg 1,2021,1,P-67,737.8,1144.3,1144.3,264.73,0,6,0,1545.1,2689.4,2689.4,1545.1,High,37.8
D7,Product_3,C3,Seg 1,2021,2,P-66,651.5,1030.1,1030.1,264.72,0,6,0,1299.2,2329.3,2329.3,1299.2,High,35.3
D7,Product_3,C3,Seg 1,2021,3,P-65,679.6,866.1,866.1,264.74,0,6,0,1166.4,2032.5,2032.5,1166.4,High,37.7
D7,Product_3,C3,Seg 1,2021,4,P-64,656.6,777.6,777.6,264.73,0,6,0,1284,2061.6,2061.6,1284,High,46.2
D7,Product_3,C3,Seg 1,2021,5,P-63,771.7,856,856,264.73,0,6,0,1161.2,2017.2,2017.2,1161.2,High,38
D7,Product_3,C3,Seg 1,2021,6,P-62,723.4,774.1,774.1,264.74,0,6,0,407.1,1181.2,1181.2,407.1,High,14.7
D7,Product_3,C3,Seg 1,2021,7,P-61,304.1,271.4,271.4,264.73,0,6,0,500.9,772.3,772.3,500.9,High,51.7
D7,Product_3,C3,Seg 1,2021,8,P-60,480.3,334,334,264.69,0,6,0,398.1,732.1,732.1,398.1,High,33.4
D7,Product_3,C3,Seg 1,2021,9,P-59,276,265.4,265.4,264.73,0,6,0,306.8,572.2,572.2,306.8,High,32.4
D7,Product_3,C3,Seg 1,2021,10,P-58,391.6,204.5,204.5,264.76,0,6,0,156,360.5,360.5,156,High,21.4
D7,Product_3,C3,Seg 1,2021,11,P-57,365.2,104,104,264.68,0,6,0,88.4,192.4,192.4,88.4,High,23.8
D7,Product_3,C3,Seg 1,2021,12,P-56,434.3,59,59,264.51,0,6,0,166.7,225.6,225.6,166.7,High,79.2
D7,Product_3,C3,Seg 1,2021,13,P-55,426,111.1,111.1,264.74,0,6,0,119.3,230.4,230.4,119.3,High,30.1
D7,Product_3,C3,Seg 1,2022,1,P-54,598,79.6,79.6,264.57,0,6,0,89.6,169.1,169.1,89.6,High,31.5
D7,Product_3,C3,Seg 1,2022,2,P-53,531.5,59.7,59.7,264.84,0,6,0,28.4,88.2,88.2,28.4,High,13.3
D7,Product_3,C3,Seg 1,2022,3,P-52,273,19,19,264.22,0,6,0,96.7,115.6,115.6,96.7,High,142.7
D7,Product_3,C3,Seg 1,2022,4,P-51,346.8,64.4,64.4,264.90,0,6,0,270,334.5,334.5,270,High,117.3
D7,Product_3,C3,Seg 1,2022,5,P-50,362.4,180,180,264.77,0,6,0,256.8,436.8,436.8,256.8,High,39.9
D7,Product_3,C3,Seg 1,2022,6,P-49,456.8,171.2,171.2,264.74,0,6,0,0,171.2,171.2,0,High,0
D7,Product_3,C3,Seg 1,2022,7,P-48,126.3,0,0,#DIV/0!,0,6,0,0,0,0,0,High,#DIV/0!
D7,Product_3,C3,Seg 1,2022,8,P-47,50.1,0,0,#DIV/0!,0,6,0,7.6,7.6,7.6,7.6,High,#DIV/0!
D7,Product_3,C3,Seg 1,2022,9,P-46,,5.1,5.1,262.61,0,6,0,56.5,61.6,61.6,56.5,High,312.8
D7,Product_3,C3,Seg 1,2022,10,P-45,82.3,37.7,37.7,264.55,0,6,0,0,37.7,37.7,0,High,0
D7,Product_3,C3,Seg 1,2022,11,P-44,,0,0,#DIV/0!,0,6,0,0,0,0,0,High,#DIV/0!
D7,Product_3,C3,Seg 1,2022,12,P-43,,0,0,#DIV/0!,0,6,0,69,69,69,69,High,#DIV/0!
D7,Product_3,C3,Seg 1,2022,13,P-42,,46,46,264.60,0,6,0,46.8,92.8,92.8,46.8,High,28.5
D7,Product_3,C3,Seg 1,2023,1,P-41,,31.2,31.2,264.94,0,6,0,18.6,49.8,49.8,18.6,High,16.6
D7,Product_3,C3,Seg 1,2023,2,P-40,,12.4,12.4,264.08,0,6,0,0,12.4,12.4,0,High,0
D7,Product_3,C3,Seg 1,2023,3,P-39,,0,0,#DIV/0!,0,6,0,113.3,113.3,113.3,113.3,High,#DIV/0!
D7,Product_3,C3,Seg 1,2023,4,P-38,,75.5,75.5,264.76,0,6,0,197,272.5,272.5,197,High,73.1
D7,Product_3,C3,Seg 1,2023,5,P-37,,131.3,131.3,264.82,0,6,0,170,301.4,301.4,170,High,36.2
D7,Product_3,C3,Seg 1,2023,6,P-36,,113.4,113.4,264.62,0,6,0,0,113.4,113.4,0,High,0
D7,Product_3,C3,Seg 1,2023,7,P-35,,0,0,#DIV/0!,0,6,0,0,0,0,0,High,#DIV/0!
D7,Product_3,C3,Seg 1,2023,8,P-34,153.6,0,0,#DIV/0!,0,6,0,0,0,0,0,High,#DIV/0!
D7,Product_3,C3,Seg 1,2023,9,P-33,221.4,0,0,#DIV/0!,0,6,0,42.3,42.3,42.3,42.3,High,#DIV/0!
D7,Product_3,C3,Seg 1,2023,10,P-32,472.6,28.2,28.2,264.89,0,6,0,33.3,61.5,61.5,33.3,High,33.1
